着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円)
1,3,5,コントレイル,牡3,57,福永祐一,2:24.1,,**,3-3-5-4,34.0,1.4,1,460(-2),,,,[西]矢作芳人,前田晋二,"22,669.8"
2,6,12,サリオス,牡3,57,レーン,2:24.6,3,**,10-10-10-11,34.1,4.4,2,528(-8),,,,[東]堀宣行,シルクレーシング,"8,762.8"
3,3,6,ヴェルトライゼンデ,牡3,57,池添謙一,2:24.9,1.3/4,**,5-5-7-7,34.7,66.4,10,486(0),,,,[西]池江泰寿,サンデーレーシング,"5,381.4"
4,1,1,サトノインプレッサ,牡3,57,坂井瑠星,2:24.9,アタマ,**,11-11-12-12,34.3,63.4,9,482(0),,,,[西]矢作芳人,サトミホースカンパニー,"3,000.0"
5,7,13,ディープボンド,牡3,57,和田竜二,2:25.0,1/2,**,3-3-2-2,35.1,61.6,8,484(+2),,,,[西]大久保龍,前田晋二,"2,000.0"
6,6,11,ガロアクリーク,牡3,57,川田将雅,2:25.0,ハナ,**,6-5-7-10,34.6,51.6,7,498(0),,,,[東]上原博之,水上行雄,
7,4,7,ブラックホール,牡3,57,石川裕紀,2:25.0,ハナ,**,14-14-16-16,34.1,211.2,17,424(-8),,,,[東]相沢郁,芹澤精一,
8,2,3,ワーケア,牡3,57,ルメール,2:25.1,3/4,**,8-8-10-8,34.8,12.8,3,490(-4),,,,[東]手塚貴久,落合幸弘,
9,7,14,マイラプソディ,牡3,57,横山典弘,2:25.2,クビ,**,17-14-1-1,35.4,87.7,11,500(-4),,,,[西]友道康夫,キーファーズ,
10,4,8,ビターエンダー,牡3,57,津村明秀,2:25.2,アタマ,**,11-11-12-12,34.6,91.2,13,464(0),,,,[東]相沢郁,ヒダカ・ブリーダーズ・ユニオン,
11,7,15,サトノフラッグ,牡3,57,武豊,2:25.3,1/2,**,15-14-12-12,34.7,16.5,4,488(0),,,,[東]国枝栄,サトミホースカンパニー,
12,5,10,コルテジア,牡3,57,松山弘平,2:25.4,3/4,**,2-2-2-2,35.5,131.5,14,458(-2),,,,[西]鈴木孝志,前田幸治,
13,5,9,ダーリントンホール,牡3,57,Ｍ．デム,2:25.5,1/2,**,13-13-12-15,34.7,30.3,5,520(+4),,,,[東]木村哲也,ゴドルフィン,
14,8,17,ヴァルコス,牡3,57,三浦皇成,2:25.5,アタマ,**,6-5-5-4,35.5,46.4,6,498(0),,,,[西]友道康夫,佐々木主浩,
15,2,4,レクセランス,牡3,57,石橋脩,2:25.7,1.1/4,**,15-17-16-17,34.6,213.5,18,480(-2),,,,[西]池添学,シルクレーシング,
16,8,16,マンオブスピリット,牡3,57,北村友一,2:26.0,1.3/4,**,18-18-18-17,34.9,179.7,16,492(+2),,,,[西]斉藤崇史,ホシノレーシング,
17,8,18,ウインカーネリアン,牡3,57,田辺裕信,2:26.2,1.1/4,**,1-1-2-4,36.1,141.0,15,490(+6),,,,[東]鹿戸雄一,ウイン,
18,1,2,アルジャンナ,牡3,57,浜中俊,2:26.3,3/4,**,8-8-9-8,36.0,88.8,12,454(-2),,,,[西]池江泰寿,吉田勝己,
