race_id,kaisai_id,race_name,grade
202105030105,20210605,2歳新馬,新馬
202105030109,20210605,稲城特別,1勝クラス
202105030110,20210605,由比ヶ浜特別,2勝クラス
202105030111,20210605,アハルテケS,Open
202107040105,20210605,2歳新馬,新馬
202107040109,20210605,一宮特別,2勝クラス
202107040110,20210605,松風月S,3勝クラス
202107040111,20210605,鳴尾記念,G3
202105030205,20210606,2歳新馬,新馬
202105030206,20210606,2歳新馬,新馬
202105030209,20210606,ホンコンJT,2勝クラス
202105030210,20210606,麦秋S,3勝クラス
202105030211,20210606,安田記念,G1
202105030212,20210606,小金井特別,2勝クラス
202107040205,20210606,2歳新馬,新馬
202107040209,20210606,蒲郡特別,2勝クラス
202107040210,20210606,弥富特別,2勝クラス
202107040211,20210606,高山S,3勝クラス
202105030305,20210612,2歳新馬,新馬
202105030309,20210612,芦ノ湖特別,2勝クラス
202105030310,20210612,三浦特別,2勝クラス
202105030311,20210612,ジューンS,3勝クラス
202107040305,20210612,2歳新馬,新馬
202107040309,20210612,春日井特別,1勝クラス
202107040310,20210612,清洲S,3勝クラス
202107040311,20210612,桑名S,3勝クラス
202101010105,20210612,2歳新馬,新馬
202101010110,20210612,積丹特別,1勝クラス
202101010111,20210612,大倉山特別,2勝クラス
202101010112,20210612,HTB賞,2勝クラス
202105030405,20210613,2歳新馬,新馬
202105030409,20210613,八王子特別,2勝クラス
202105030410,20210613,夏至S,3勝クラス
202105030411,20210613,エプソムC,G3
202107040405,20210613,2歳新馬,新馬
202107040409,20210613,恵那特別,2勝クラス
202107040410,20210613,常滑特別,2勝クラス
202107040411,20210613,三宮S,Open
202101010205,20210613,2歳新馬,新馬
202101010210,20210613,十勝岳特別,1勝クラス
202101010211,20210613,函館SS,G3
202101010212,20210613,桑園特別,2勝クラス
202105030501,20210619,2歳未勝利,未勝利
202105030505,20210619,2歳新馬,新馬
202105030509,20210619,青梅特別,2勝クラス
202105030510,20210619,相模湖特別,2勝クラス
202105030511,20210619,スレイプニル,Open
202109030105,20210619,2歳新馬,新馬
202109030109,20210619,皆生特別,2勝クラス
202109030110,20210619,オークランド,3勝クラス
202109030111,20210619,米子S,Listed
202101010305,20210619,2歳新馬,新馬
202101010306,20210619,2歳新馬,新馬
202101010310,20210619,利尻特別,1勝クラス
202101010311,20210619,STV賞,2勝クラス
202101010312,20210619,礼文特別,1勝クラス
202105030605,20210620,2歳新馬,新馬
202105030609,20210620,町田特別,2勝クラス
202105030610,20210620,多摩川S,3勝クラス
202105030611,20210620,ユニコーンS,G3
202109030205,20210620,2歳新馬,新馬
202109030209,20210620,鷹取特別,2勝クラス
202109030210,20210620,垂水S,3勝クラス
202109030211,20210620,マーメイドS,G3
202101010405,20210620,2歳新馬,新馬
202101010410,20210620,知床特別,1勝クラス
202101010411,20210620,しらかばS,3勝クラス
202101010412,20210620,報知杯大雪山,2勝クラス
202105030701,20210626,2歳未勝利,未勝利
202105030705,20210626,2歳新馬,新馬
202105030708,20210626,東京ジャンプ,
202105030709,20210626,清里特別,2勝クラス
202105030710,20210626,日野特別,2勝クラス
202105030711,20210626,江の島S,3勝クラス
202109030301,20210626,2歳未勝利,未勝利
202109030305,20210626,2歳新馬,新馬
202109030309,20210626,三木特別,2勝クラス
202109030310,20210626,水無月S,3勝クラス
202109030311,20210626,天保山S,Open
202101010501,20210626,2歳未勝利,未勝利
202101010505,20210626,2歳新馬,新馬
202101010510,20210626,北辰特別,1勝クラス
202101010511,20210626,TVh賞,Open
202101010512,20210626,ポプラ特別,2勝クラス
202105030805,20210627,2歳新馬,新馬
202105030806,20210627,2歳新馬,新馬
202105030809,20210627,八ヶ岳特別,2勝クラス
202105030810,20210627,甲州街道S,3勝クラス
202105030811,20210627,パラダイスS,Listed
202109030405,20210627,2歳新馬,新馬
202109030408,20210627,城崎特別,1勝クラス
202109030409,20210627,舞子特別,2勝クラス
202109030410,20210627,花のみちS,3勝クラス
202109030411,20210627,宝塚記念,G1
202109030412,20210627,リボン賞,2勝クラス
202101010605,20210627,2歳新馬,新馬
202101010610,20210627,ライラック賞,2勝クラス
202101010611,20210627,大沼S,Listed
202101010612,20210627,HBC賞,2勝クラス
